author_from_figure,tokens_millions,fine_tune_cost_usd,in_context_cost_usd,total_ai_training_cost_usd
A. Proulx,6.52,163.0,3.0,166.0
B. Lerner,1.83,45.75,3.0,48.75
C. N. Adichie,4.44,111.0,3.0,114.0
C. Strayed,2.09,52.25,3.0,55.25
Franzen,7.7,192.5,3.0,195.5
L. Erdrich",5.83,145.75,3.0,148.75
H. Kang,1.31,32.75,3.0,35.75
Ishiguro,4.98,124.5,3.0,127.5
J. Diaz,1.21,30.25,3.0,33.25
J. Lahiri,2.63,65.75,3.0,68.75
L. Davis,2.0,50.0,3.0,53.0
M. Atwood,4.54,113.5,3.0,116.5
M. J. Lee,2.5,62.5,3.0,65.5
M. Robinson,6.9,172.5,3.0,175.5
McEwan,7.22,180.5,3.0,183.5
Murakami,4.64,116.0,3.0,119.0
O. Mosfegh,1.63,40.75,3.0,43.75
O. Pamuk,10.9,272.5,3.0,275.5
P. Everett,5.34,133.5,3.0,136.5
R. Cusk,1.97,49.25,3.0,52.25
A. Ernaux",3.06,76.5,3.0,79.5
R. Gay",2.68,67.0,3.0,70.0
Rushdie,5.3,132.5,3.0,135.5
S. Nunez,2.84,71.0,3.0,74.0
S. Rooney,2.11,52.75,3.0,55.75
Saunders,3.17,79.25,3.0,82.25
Tulathimutte,0.89,22.25,3.0,25.25
Whitehead,5.21,130.25,3.0,133.25
Y. Ogawa,1.75,43.75,3.0,46.75
Z. Smith,4.85,121.25,3.0,124.25
